"Use Company Category Configuration","Use Company Category Configuration"
"Customize per Brand Category","Customize per Brand Category"
"Sales Representative Configuration","Sales Representative Configuration"
"Could not save the site traffic. Please review the log!","Could not save the site traffic. Please review the log!"
"Something went wrong. Please review the log!","Something went wrong. Please review the log!"
"Sort By","Sort By"
"Brand Name","Brand Name"
"Most Viewed","Most Viewed"
"Set Descending Direction","Set Descending Direction"
"Set Ascending Direction","Set Ascending Direction",
"This email is to let you know that one or more retailers have ordered your items yesterday. But relax! We will handle everything from here and no further action is needed from you. The details of the order are below for your records. If you have any questions or would like us to not ship out one or more of these orders, simply reply to this email and let us know.","This email is to let you know that one or more retailers have ordered your items yesterday. But relax! We will handle everything from here and no further action is needed from you. The details of the order are below for your records. If you have any questions or would like us to not ship out one or more of these orders, simply reply to this email and let us know."
"Your One to One Sales Report","Your One to One Sales Report"
"Report was sent at: ","Report was sent at: "
"One to One Support","One to One Support"
"This is an automated message from One to One. Reply to this email with questions or concerns.","This is an automated message from One to One. Reply to this email with questions or concerns."
