"Assign as Sub-user","Assign as Sub-user"
"Company Account Info","Company Account Info"
"Shipping Address","Shipping Address"
"-- Please Select --","-- Please Select --"
"Role","Role"
"Something went wrong while convert to sub-user. Please review the log!","Something went wrong while convert to sub-user. Please review the log!"
"Customer to Sub-user Email Template","Customer to Sub-user Email Template"
"BSS CA - Customer to Sub-user","BSS CA - Customer to Sub-user"
"Hi %name,","Hi %name,"
"You are request to be sub-user of %email company account!","You are request to be sub-user of %email company account!"
"You can use your original password to login in, or set a new password here:","You can use your original password to login in, or set a new password here:"
"Set a New Password","Set a New Password"
"The token will expire after about 3 days.","The token will expire after about 3 days."
"If you have any question, please contact your company account's email: %email.","If you have any question, please contact your company account's email: %email."
"Thank you!","Thank you!"
"The current session has expired.","The current session has expired."
"Please reload to update page.","Please reload to update page."
"Your account was assigned to other Company Account.","Your account was assigned to other Company Account."
"Your account was assigned as Sub-user.","Your account was assigned as Sub-user."
